epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1343.8,0.66449,0.34054,0.00716,0.66075,0.66232,0.68475,0.58973,0.61579,1.47934,0.01283,0.000237955,0.000237955,0.000237955
2,2631.13,0.70679,0.38626,0.00792,0.68355,0.66495,0.65607,0.54556,0.67741,1.72802,0.01513,0.000464175,0.000464175,0.000464175
3,3913.82,0.73534,0.41356,0.00832,0.62656,0.65017,0.60957,0.51964,0.7081,1.80288,0.01543,0.000678614,0.000678614,0.000678614
4,5114.8,0.73861,0.42888,0.00834,0.66952,0.69841,0.70832,0.60128,0.68398,1.38064,0.01554,0.000660986,0.000660986,0.000660986
5,6287.38,0.73582,0.43125,0.00835,0.68721,0.7073,0.73145,0.62018,0.64159,1.26968,0.01363,0.000643314,0.000643314,0.000643314
6,7466.87,0.73412,0.4251,0.00827,0.63286,0.70036,0.70652,0.59405,0.68244,1.37061,0.01594,0.000625642,0.000625642,0.000625642
7,8644.04,0.72713,0.40356,0.00817,0.71396,0.71023,0.75766,0.64189,0.63092,1.09611,0.01387,0.000607971,0.000607971,0.000607971
8,9820.74,0.72498,0.39983,0.00817,0.70924,0.6324,0.70969,0.59152,0.65551,1.39471,0.01442,0.0005903,0.0005903,0.0005903
9,10996.6,0.71454,0.39457,0.00802,0.70072,0.73499,0.7376,0.64832,0.59404,1.23396,0.01253,0.000572628,0.000572628,0.000572628
10,12171.5,0.71094,0.38456,0.00787,0.77115,0.70785,0.77549,0.6697,0.65933,1.1111,0.01423,0.000554956,0.000554956,0.000554956
11,13351.4,0.70288,0.3818,0.00773,0.67187,0.66264,0.67398,0.56674,0.64356,1.30033,0.01351,0.000537285,0.000537285,0.000537285
12,14524.3,0.69133,0.36656,0.00765,0.67016,0.71562,0.73482,0.63876,0.5963,1.30371,0.01229,0.000519613,0.000519613,0.000519613
13,15701.1,0.69201,0.36224,0.00763,0.69834,0.72054,0.71731,0.61007,0.63994,1.31833,0.01389,0.000501942,0.000501942,0.000501942
14,16875.1,0.68184,0.35076,0.00749,0.7029,0.71225,0.73742,0.63289,0.6183,1.2898,0.01233,0.000484271,0.000484271,0.000484271
15,18047.9,0.67522,0.34342,0.00736,0.69915,0.69434,0.73284,0.6368,0.60663,1.46592,0.01262,0.000466599,0.000466599,0.000466599
16,19219.9,0.66768,0.34212,0.00729,0.71927,0.67186,0.73021,0.62049,0.63515,1.20041,0.01344,0.000448928,0.000448928,0.000448928
17,20396.9,0.66426,0.33885,0.00722,0.66277,0.74404,0.74599,0.64142,0.63388,1.21358,0.01328,0.000431256,0.000431256,0.000431256
18,21569.7,0.66393,0.32352,0.00715,0.7332,0.66329,0.71369,0.61774,0.60836,1.44372,0.01205,0.000413584,0.000413584,0.000413584
19,22740.2,0.65092,0.31588,0.00695,0.72612,0.69597,0.75877,0.66314,0.60211,1.24372,0.01211,0.000395913,0.000395913,0.000395913
20,23914.9,0.64726,0.32752,0.00694,0.73297,0.70916,0.74837,0.65318,0.59144,1.43652,0.01176,0.000378242,0.000378242,0.000378242
21,25090.7,0.65161,0.32845,0.00696,0.68559,0.70783,0.74255,0.65826,0.57465,1.28267,0.01126,0.00036057,0.00036057,0.00036057
22,26263.7,0.64057,0.3193,0.00686,0.73212,0.69011,0.73365,0.64688,0.56148,1.42275,0.01101,0.000342899,0.000342899,0.000342899
23,27438.4,0.63433,0.31322,0.0068,0.71395,0.70365,0.74218,0.66188,0.56139,1.26728,0.01054,0.000325227,0.000325227,0.000325227
24,28615.8,0.62944,0.30074,0.00664,0.73943,0.70301,0.73948,0.65946,0.55961,1.40049,0.01055,0.000307555,0.000307555,0.000307555
25,29790.7,0.61431,0.3009,0.00655,0.72184,0.69226,0.73267,0.65474,0.57335,1.4367,0.01113,0.000289884,0.000289884,0.000289884
26,30966.2,0.61343,0.29869,0.00648,0.71214,0.71374,0.73912,0.64445,0.60486,1.40083,0.01244,0.000272212,0.000272212,0.000272212
