epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1023.45,2.46181,5.35405,0.06094,0.40409,0.24827,0.11628,0.04925,1.96409,2.86243,0.06318,0.00023791,0.00023791,0.00023791
2,2137.64,1.64179,1.95028,0.03433,0.36876,0.41058,0.20031,0.09647,1.63907,2.1429,0.048,0.000428795,0.000428795,0.000428795
3,3084,1.50048,1.48703,0.02958,0.27797,0.49937,0.22,0.11158,1.6702,1.87471,0.04799,0.000572556,0.000572556,0.000572556
4,4081.66,1.42299,1.27223,0.02683,0.18511,0.53219,0.2361,0.11524,1.74215,1.81586,0.04987,0.000501942,0.000501942,0.000501942
5,5397.66,1.35195,1.11831,0.02453,0.20812,0.6167,0.26778,0.12406,1.82931,1.72531,0.05131,0.000431256,0.000431256,0.000431256
6,6601.94,1.30425,1.03252,0.02257,0.2243,0.58353,0.28308,0.14261,1.60397,1.75646,0.0414,0.00036057,0.00036057,0.00036057
7,7702.4,1.24538,0.9489,0.0211,0.23273,0.64238,0.28983,0.14865,1.53635,1.64162,0.04037,0.000289884,0.000289884,0.000289884
8,9177.34,1.21968,0.88778,0.02042,0.23689,0.65668,0.29944,0.16684,1.50357,1.65298,0.04056,0.000219198,0.000219198,0.000219198
9,10217.4,1.18476,0.83195,0.01934,0.23047,0.60282,0.27894,0.14987,1.50346,1.76109,0.03875,0.000148512,0.000148512,0.000148512
10,11347.6,1.1503,0.79343,0.01847,0.25623,0.58979,0.30026,0.173,1.41785,1.60575,0.03786,7.7826e-05,7.7826e-05,7.7826e-05
