epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1409.73,1.48733,3.07308,0.02184,0.28345,0.37802,0.26784,0.1446,1.37022,2.04747,0.0355,0.000237821,0.000237821,0.000237821
2,2489.89,1.38821,1.37006,0.01955,0.26177,0.44616,0.3495,0.21115,1.42661,1.73766,0.04423,0.000456978,0.000456978,0.000456978
3,9173.45,1.34198,1.22265,0.01839,0.3742,0.46649,0.34683,0.23663,1.13625,1.8819,0.03452,0.000657286,0.000657286,0.000657286
4,10155.4,1.31676,1.14892,0.01774,0.59394,0.34121,0.35954,0.26161,1.01721,1.68187,0.02913,0.000629177,0.000629177,0.000629177
5,11094.2,1.26066,1.06844,0.01687,0.25927,0.53966,0.33514,0.23762,0.99144,1.88442,0.02892,0.000600902,0.000600902,0.000600902
6,12030,1.23513,1.01299,0.01633,0.47915,0.60682,0.49029,0.33593,1.09286,1.54331,0.03103,0.000572628,0.000572628,0.000572628
7,13052,1.1884,0.96057,0.01547,0.49819,0.47228,0.43889,0.3049,1.0552,1.62586,0.03137,0.000544354,0.000544354,0.000544354
8,14070.2,1.16148,0.91861,0.01492,0.56761,0.47696,0.47574,0.33369,1.05202,1.66335,0.03181,0.000516079,0.000516079,0.000516079
9,15004.7,1.13967,0.8814,0.01452,0.54306,0.50794,0.5401,0.35351,1.10448,1.60662,0.03431,0.000487805,0.000487805,0.000487805
10,15941.9,1.1094,0.85014,0.01425,0.55336,0.487,0.47155,0.35831,0.92244,1.67493,0.02612,0.00045953,0.00045953,0.00045953
11,16874.8,1.08829,0.82984,0.01404,0.4796,0.59458,0.55993,0.4298,0.9084,1.39384,0.02506,0.000431256,0.000431256,0.000431256
12,17812.3,1.06788,0.79886,0.01351,0.50068,0.62151,0.57478,0.45768,0.82261,1.14582,0.02131,0.000402982,0.000402982,0.000402982
13,18747.3,1.04792,0.76534,0.01306,0.56529,0.60851,0.6083,0.49263,0.80607,1.26737,0.02022,0.000374707,0.000374707,0.000374707
14,19685.4,1.02439,0.74069,0.01257,0.61501,0.62523,0.61519,0.47168,0.91649,1.32276,0.02591,0.000346433,0.000346433,0.000346433
15,20617.5,1.00314,0.7279,0.01249,0.64179,0.56719,0.6219,0.5114,0.80265,1.23084,0.02021,0.000318158,0.000318158,0.000318158
16,21444.7,0.87326,0.38072,0.01273,0.56796,0.58028,0.59345,0.46364,0.83301,1.3522,0.02199,0.000289884,0.000289884,0.000289884
17,22269,0.84283,0.3501,0.01236,0.53443,0.58499,0.56638,0.44687,0.83262,1.4368,0.02095,0.00026161,0.00026161,0.00026161
18,23095.1,0.81535,0.33413,0.01173,0.5351,0.65654,0.61306,0.51138,0.73307,1.42244,0.01685,0.000233335,0.000233335,0.000233335
19,23918.9,0.79646,0.31468,0.01132,0.66128,0.58627,0.64444,0.53301,0.75217,1.31428,0.0175,0.000205061,0.000205061,0.000205061
20,24746.7,0.77021,0.30272,0.01081,0.64075,0.62557,0.62736,0.52297,0.75292,1.2547,0.01843,0.000176786,0.000176786,0.000176786
21,25571.5,0.74544,0.28896,0.01035,0.65506,0.61875,0.64709,0.53622,0.74904,1.41135,0.01862,0.000148512,0.000148512,0.000148512
22,26395.3,0.73112,0.27742,0.01001,0.64849,0.64637,0.67411,0.5561,0.75954,1.34655,0.01844,0.000120238,0.000120238,0.000120238
23,27219.8,0.72041,0.27146,0.00984,0.66716,0.65383,0.67652,0.57352,0.6775,1.33354,0.01574,9.19632e-05,9.19632e-05,9.19632e-05
24,28043.9,0.70421,0.26664,0.00953,0.63932,0.64807,0.66596,0.56253,0.68068,1.33132,0.01585,6.36888e-05,6.36888e-05,6.36888e-05
25,28869.4,0.69438,0.25728,0.00932,0.63339,0.6863,0.70016,0.5914,0.68115,1.23517,0.01575,3.54144e-05,3.54144e-05,3.54144e-05
