epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,529.142,1.07706,0.77341,0.01339,0.60549,0.59643,0.62014,0.45614,1.00615,1.48666,0.028,0.000237888,0.000237888,0.000237888
2,991.523,1.01495,0.65876,0.01245,0.61901,0.56072,0.6283,0.48216,0.84546,1.35093,0.01843,0.000467322,0.000467322,0.000467322
3,1452.18,1.02833,0.66519,0.01258,0.56091,0.60504,0.58403,0.47336,0.82001,1.77167,0.01815,0.000688188,0.000688188,0.000688188
4,1910.95,1.01676,0.66761,0.01251,0.53337,0.65202,0.60897,0.49008,0.8232,1.36321,0.01893,0.000675444,0.000675444,0.000675444
5,2366.16,1.00857,0.64608,0.0123,0.5086,0.46838,0.51413,0.41021,0.75222,1.50831,0.01824,0.000662592,0.000662592,0.000662592
6,2826.1,0.99052,0.63157,0.01199,0.53864,0.57151,0.59166,0.49312,0.68752,1.5281,0.01487,0.00064974,0.00064974,0.00064974
7,3291.42,0.98839,0.62512,0.012,0.53632,0.54152,0.57323,0.43402,0.91179,1.49181,0.02387,0.000636888,0.000636888,0.000636888
8,3756.09,0.9787,0.60313,0.01187,0.66588,0.67806,0.69402,0.57784,0.7168,1.06876,0.01593,0.000624036,0.000624036,0.000624036
9,4219.82,0.96441,0.59479,0.0116,0.64949,0.53844,0.59914,0.47514,0.78936,1.44655,0.01746,0.000611184,0.000611184,0.000611184
10,4685.56,0.96173,0.57778,0.01147,0.61365,0.62115,0.65288,0.54461,0.72425,1.37263,0.01631,0.000598332,0.000598332,0.000598332
11,5151.48,0.94989,0.5691,0.01129,0.61944,0.56096,0.61369,0.50597,0.75557,1.36851,0.01662,0.00058548,0.00058548,0.00058548
12,5617.24,0.93872,0.56156,0.01127,0.59608,0.62844,0.61587,0.51703,0.72803,1.40014,0.01516,0.000572628,0.000572628,0.000572628
13,6081.78,0.93048,0.5476,0.01109,0.61838,0.68219,0.65205,0.54383,0.711,1.38757,0.01619,0.000559776,0.000559776,0.000559776
14,6546.93,0.92592,0.53867,0.01095,0.58083,0.61381,0.62988,0.52434,0.71171,1.32124,0.015,0.000546924,0.000546924,0.000546924
15,7012.82,0.91312,0.53434,0.01082,0.61274,0.592,0.6096,0.50562,0.72031,1.4224,0.01507,0.000534072,0.000534072,0.000534072
16,7478.55,0.9035,0.52875,0.0108,0.56896,0.60577,0.61879,0.51137,0.73969,1.52099,0.01512,0.00052122,0.00052122,0.00052122
17,7944.49,0.90076,0.51594,0.01067,0.65518,0.64555,0.69449,0.58732,0.69903,1.48033,0.01468,0.000508368,0.000508368,0.000508368
18,8571.51,0.8989,0.5107,0.01058,0.62921,0.57691,0.63202,0.53331,0.69181,1.46486,0.01477,0.000495516,0.000495516,0.000495516
19,9438.9,0.88534,0.49981,0.01033,0.57392,0.64947,0.63744,0.53704,0.70572,1.63208,0.0154,0.000482664,0.000482664,0.000482664
20,10578.9,0.88363,0.49241,0.0103,0.54013,0.65875,0.60352,0.51859,0.6591,1.74668,0.01324,0.000469812,0.000469812,0.000469812
21,11794.8,0.8728,0.48904,0.01028,0.60262,0.63744,0.64984,0.55328,0.63947,1.53677,0.01366,0.00045696,0.00045696,0.00045696
22,12929.9,0.86658,0.48328,0.01016,0.61729,0.59142,0.64262,0.55112,0.65272,1.46724,0.01373,0.000444108,0.000444108,0.000444108
23,13913.9,0.85397,0.48255,0.00995,0.60061,0.63628,0.65603,0.55726,0.68997,1.46294,0.01407,0.000431256,0.000431256,0.000431256
