epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,452.933,0.49812,0.20387,0.00438,0.60097,0.65254,0.64256,0.57315,0.5615,1.80261,0.01006,0.00998964,0.00332988,0.00998964,0.00332988,0.00998964,0.00332988,0.00998964,0.00332988
2,759.179,0.54545,0.23331,0.0049,0.63544,0.60145,0.63913,0.56857,0.59169,1.89317,0.01159,0.0198176,0.00660585,0.0198176,0.00660585,0.0198176,0.00660585,0.0198176,0.00660585
3,1036.4,0.60616,0.27881,0.00559,0.61636,0.61225,0.59435,0.52004,0.61544,1.7753,0.01224,0.0294733,0.00982443,0.0294733,0.00982443,0.0294733,0.00982443,0.0294733,0.00982443
4,1300.97,0.6704,0.33148,0.00622,0.56361,0.59112,0.55588,0.46931,0.61513,1.76203,0.01251,0.0292252,0.00974174,0.0292252,0.00974174,0.0292252,0.00974174,0.0292252,0.00974174
5,1565.97,0.68169,0.34089,0.00636,0.6029,0.5729,0.59701,0.51116,0.62408,1.64575,0.0123,0.028967,0.00965565,0.028967,0.00965565,0.028967,0.00965565,0.028967,0.00965565
6,1829.27,0.68508,0.34325,0.00641,0.61232,0.60673,0.62989,0.54084,0.65261,1.58881,0.01217,0.0287087,0.00956957,0.0287087,0.00956957,0.0287087,0.00956957,0.0287087,0.00956957
7,2092.47,0.68075,0.33891,0.00635,0.62179,0.58871,0.60399,0.50089,0.73724,1.7896,0.01526,0.0284504,0.00948348,0.0284504,0.00948348,0.0284504,0.00948348,0.0284504,0.00948348
8,2357,0.68115,0.33868,0.00645,0.57832,0.58899,0.57883,0.48318,0.66734,1.78145,0.01392,0.0281922,0.00939739,0.0281922,0.00939739,0.0281922,0.00939739,0.0281922,0.00939739
9,2622.23,0.68049,0.33228,0.00633,0.64236,0.57919,0.60082,0.52642,0.60295,1.80063,0.01226,0.0279339,0.0093113,0.0279339,0.0093113,0.0279339,0.0093113,0.0279339,0.0093113
10,2886.83,0.67403,0.32561,0.00631,0.64045,0.64328,0.64941,0.56188,0.63114,1.50376,0.01219,0.0276757,0.00922522,0.0276757,0.00922522,0.0276757,0.00922522,0.0276757,0.00922522
11,3152.27,0.67508,0.33,0.00625,0.60879,0.58081,0.57301,0.49735,0.60615,1.9777,0.01226,0.0274174,0.00913913,0.0274174,0.00913913,0.0274174,0.00913913,0.0274174,0.00913913
12,3417.35,0.67524,0.32684,0.00624,0.63978,0.54355,0.61499,0.5417,0.58875,1.77964,0.01104,0.0271591,0.00905304,0.0271591,0.00905304,0.0271591,0.00905304,0.0271591,0.00905304
13,3681.09,0.67637,0.33122,0.00627,0.57756,0.58729,0.57024,0.50126,0.59218,1.86096,0.01173,0.0269009,0.00896696,0.0269009,0.00896696,0.0269009,0.00896696,0.0269009,0.00896696
14,3945.48,0.67902,0.32187,0.00625,0.54014,0.54438,0.56873,0.49791,0.61389,1.95069,0.01162,0.0266426,0.00888087,0.0266426,0.00888087,0.0266426,0.00888087,0.0266426,0.00888087
15,4214.53,0.67212,0.32498,0.00614,0.61845,0.61309,0.62825,0.55395,0.59696,1.75787,0.01068,0.0263843,0.00879478,0.0263843,0.00879478,0.0263843,0.00879478,0.0263843,0.00879478
16,4483.81,0.67151,0.32785,0.00628,0.64064,0.59893,0.65295,0.57123,0.59646,1.34122,0.01096,0.0261261,0.0087087,0.0261261,0.0087087,0.0261261,0.0087087,0.0261261,0.0087087
17,4748.57,0.66985,0.31617,0.00618,0.63935,0.60329,0.64723,0.57122,0.57553,1.53138,0.01099,0.0258678,0.00862261,0.0258678,0.00862261,0.0258678,0.00862261,0.0258678,0.00862261
18,5013.01,0.66679,0.31277,0.00621,0.5768,0.5626,0.5691,0.49726,0.61459,2.26269,0.01209,0.0256096,0.00853652,0.0256096,0.00853652,0.0256096,0.00853652,0.0256096,0.00853652
19,5277.74,0.66363,0.31153,0.00611,0.649,0.64992,0.68337,0.6024,0.57291,1.39845,0.01096,0.0253513,0.00845043,0.0253513,0.00845043,0.0253513,0.00845043,0.0253513,0.00845043
20,5542.61,0.66289,0.31272,0.00609,0.59758,0.59591,0.61758,0.54342,0.58632,1.73634,0.01079,0.025093,0.00836435,0.025093,0.00836435,0.025093,0.00836435,0.025093,0.00836435
21,5809.15,0.66721,0.31586,0.00611,0.60867,0.61334,0.58123,0.50958,0.58379,1.71848,0.01098,0.0248348,0.00827826,0.0248348,0.00827826,0.0248348,0.00827826,0.0248348,0.00827826
22,6071,0.66498,0.31066,0.0061,0.59183,0.62521,0.63311,0.56859,0.57427,1.70074,0.01055,0.0245765,0.00819217,0.0245765,0.00819217,0.0245765,0.00819217,0.0245765,0.00819217
23,6332.72,0.65422,0.30604,0.00602,0.59754,0.59285,0.58831,0.51402,0.60791,1.90071,0.0119,0.0243183,0.00810609,0.0243183,0.00810609,0.0243183,0.00810609,0.0243183,0.00810609
24,6592.97,0.65663,0.30989,0.00604,0.58411,0.58191,0.62051,0.55177,0.58315,1.63767,0.0106,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
